group,family,channel,sigma_psf_screen_px,d_rec_screen_px,symRes,sub_screen_px,symCellPx_screen_px,colCellPx_screen_px,colorBits,colorFmt,calibMode,denseN,winFrac,pilotSide_screen_px,frames,bitsPerCell,cellErrRate,bitErrRate,rsBlockFail,fileSuccess,meets,calibOverhead,netThroughput_bit_per_screenpx2,effectiveRate_MBps
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),密集N=4,4,1,,1,3,0.12066666666666667,0.07633333333333334,0.9999999999999989,0,false,0.0625,0.3125,2.43
B,纯颜色型,native,0.520316,3,,,,3,4,4 bit (16色),无,0,0.3333333333333333,,1,4,0.8756666666666667,0.42841666666666667,1,0,false,0,0.4444444444444444,3.4559999999999995
B,纯颜色型,native,0.520316,3,,,,3,4,4 bit (16色),无,0,0.5,,1,4,0.8746666666666667,0.42725,1,0,false,0,0.4444444444444444,3.4559999999999995
B,纯颜色型,native,0.520316,3,,,,3,4,4 bit (16色),无,0,0.6666666666666666,,1,4,0.8746666666666667,0.42583333333333334,1,0,false,0,0.4444444444444444,3.4559999999999995
B,纯颜色型,native,0.520316,3,,,,3,4,4 bit (16色),无,0,1,,1,4,0.8823333333333333,0.43575,1,0,false,0,0.4444444444444444,3.4559999999999995
B,纯颜色型,native,0.520316,3,,,,3,4,4 bit (16色),四角,0,0.3333333333333333,,1,4,0.15933333333333333,0.074,0.9999999999999994,0,false,0,0.4444444444444444,3.4559999999999995
B,纯颜色型,native,0.520316,3,,,,3,4,4 bit (16色),四角,0,0.5,,1,4,0.10566666666666667,0.048666666666666664,0.999999967736015,0,false,0,0.4444444444444444,3.4559999999999995
B,纯颜色型,native,0.520316,3,,,,3,4,4 bit (16色),四角,0,0.6666666666666666,,1,4,0.15166666666666667,0.07183333333333333,0.9999999999999911,0,false,0,0.4444444444444444,3.4559999999999995
B,纯颜色型,native,0.520316,3,,,,3,4,4 bit (16色),四角,0,1,,1,4,0.40066666666666667,0.20316666666666666,1,0,false,0,0.4444444444444444,3.4559999999999995
B,纯颜色型,native,0.520316,3,,,,3,4,4 bit (16色),密集N=3,3,0.3333333333333333,,1,4,0.11166666666666666,0.05291666666666667,0.9999999947074905,0,false,0.11145833333333334,0.39490740740740743,3.0708000000000006
B,纯颜色型,native,0.520316,3,,,,3,4,4 bit (16色),密集N=3,3,0.5,,1,4,0.052333333333333336,0.02425,0.9752681194837394,0,false,0.11145833333333334,0.39490740740740743,3.0708000000000006
B,纯颜色型,native,0.520316,3,,,,3,4,4 bit (16色),密集N=3,3,0.6666666666666666,,1,4,0.109,0.05491666666666667,0.9999999881095137,0,false,0.11145833333333334,0.39490740740740743,3.0708000000000006
